nct_id,brief_title,official_title,overall_status,start_date,completion_date,last_update,study_type,phase,enrollment,enrollment_type,allocation,intervention_model,primary_purpose,masking,condition,intervention_name,intervention_type,primary_outcome_count,secondary_outcome_count,min_age,max_age,sex,healthy_volunteers,lead_sponsor_name,lead_sponsor_class,collaborator_count,location_count,countries,trial_success,is_phase1,is_phase2,is_phase3,is_phase4,is_combined_phase,phase_numeric,is_oncology,is_autoimmune,is_cns,is_cardiovascular,condition_count,log_enrollment,enrollment_size,is_small_trial,is_actual_enrollment,is_industry_sponsor,is_academic_sponsor,is_big_pharma,has_collaborators,is_multisite,is_international,is_us_trial,is_europe_trial,is_randomized,is_blinded,is_treatment_purpose,is_parallel,total_outcome_count,has_secondary_outcomes,is_drug,is_biological,is_device,intervention_count,has_multiple_interventions,start_date_dt,completion_date_dt,study_duration_days,start_year,is_recent_trial,complexity_score,is_complex_trial
NCT01151059,Safety and Immunogenicity of One Dose of Inactivated Trivalent Flu Vaccine Administered to Non-elderly Adult and Elderly Subjects,"A Phase II, Open Label, Uncontrolled, Multi Center Study to Evaluate Safety and Immunogenicity of AGRIPPAL® S1 Surface Antigen, Inactivated, Influenza Vaccine, Formulation 2010-2011, When Administered to Non-elderly Adult and Elderly Subjects",COMPLETED,2010-06,2010-07,2012-03-28,INTERVENTIONAL,PHASE2,138.0,ACTUAL,NON_RANDOMIZED,SINGLE_GROUP,PREVENTION,NONE,Seasonal Influenza,"Trivalent subunit inactivated flu vaccine, Formulation 2010-2011",BIOLOGICAL,1,1,18 Years,,ALL,True,Novartis Vaccines,INDUSTRY,0,5,Italy,1.0,0,1,0,0,0,2.0,0,0,0,0,1,4.9344739331306915,medium,0,1,1,0,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,1,0,2010-06-01,2010-07-01,30.0,2010.0,0,0,0
NCT03747159,Synergetic B-cell Immunomodulation in SLE - 2nd Study.,A Randomized Trial to Investigate the Reset of Humoral Autoimmunity by Combining Belimumab with Rituximab in Severe Systemic Lupus Erythematosus,ACTIVE_NOT_RECRUITING,2018-10-01,2026-06-07,2024-10-17,INTERVENTIONAL,PHASE3,70.0,ESTIMATED,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Lupus Erythematosus, Systemic",Belimumab Injection,DRUG,1,14,18 Years,,ALL,False,Leiden University Medical Center,OTHER,2,4,Netherlands,,0,0,1,0,0,3.0,0,1,0,0,1,4.2626798770413155,medium,1,0,0,1,0,1,1,0,0,0,1,0,1,1,15,1,1,0,0,1,0,,,,,0,1,0
NCT01122459,Evaluation of the Effect of Two Types of Fluid in the Recovery From Anaesthesia. Voluven 6% v Hartmanns,Evaluation of the Effects of Two Types of Fluid in the Recovery From Anaesthesia.,COMPLETED,2010-01,2011-01,2011-07-21,INTERVENTIONAL,PHASE3,120.0,ACTUAL,RANDOMIZED,PARALLEL,PREVENTION,TRIPLE,Postoperative Nausea and Vomiting,fluid administration,OTHER,1,19,18 Years,45 Years,FEMALE,True,The Rotunda Hospital,OTHER,0,1,Ireland,1.0,0,0,1,0,0,3.0,0,0,0,0,1,4.795790545596741,medium,0,1,0,1,0,0,0,0,0,0,1,1,0,1,20,1,0,0,0,1,0,2010-01-01,2011-01-01,365.0,2010.0,0,1,0
NCT04649359,"MagnetisMM-3: Study Of Elranatamab (PF-06863135) Monotherapy in Participants With Multiple Myeloma Who Are Refractory to at Least One PI, One IMiD and One Anti-CD38 mAb","MAGNETISMM-3 AN OPEN-LABEL, MULTICENTER, NON-RANDOMIZED PHASE 2 STUDY OF ELRANATAMAB (PF-06863135) MONOTHERAPY IN PARTICIPANTS WITH MULTIPLE MYELOMA WHO ARE REFRACTORY TO AT LEAST ONE PROTEASOME INHIBITOR, ONE IMMUNOMODULATORY DRUG AND ONE ANTI-CD38 ANTIBODY",ACTIVE_NOT_RECRUITING,2021-02-02,2026-12-31,2025-12-02,INTERVENTIONAL,PHASE2,187.0,ACTUAL,NON_RANDOMIZED,PARALLEL,TREATMENT,NONE,Multiple Myeloma,Elranatamab (PF-06863135),DRUG,1,21,18 Years,,ALL,False,Pfizer,INDUSTRY,0,87,Belgium|United States|Germany|Spain|Australia|United Kingdom|Poland|Japan|France|Canada,,0,1,0,0,0,2.0,1,0,0,0,1,5.236441962829949,medium,0,1,1,0,1,0,1,1,1,1,0,0,1,1,22,1,1,0,0,1,0,,,,,0,2,0
NCT03868423,Brigatinib in Treating Patients With ALK and ROS1 Gene Alterations and Locally Advanced or Metastatic Solid Cancers,Phase II Study of Brigatinib for Advanced Solid Cancers Harboring Genomic Alterations in ALK (Excluding Lung) and ROS1 Oncogenes,WITHDRAWN,2019-03-20,2021-12-30,2022-02-18,INTERVENTIONAL,PHASE2,0.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Advanced Malignant Neoplasm|ALK Fusion Protein Expression|ALK Gene Amplification|ALK Gene Mutation|Locally Advanced Malignant Solid Neoplasm|Metastatic Malignant Neoplasm in the Brain|Metastatic Malignant Neoplasm in the Central Nervous System|Metastatic Malignant Solid Neoplasm|ROS1 Fusion Positive|ROS1 Gene Amplification|ROS1 Gene Mutation,Brigatinib|Laboratory Biomarker Analysis|Quality-of-Life Assessment|Questionnaire Administration,DRUG|OTHER,1,11,18 Years,,ALL,False,Sameek Roychowdhury,OTHER,1,1,United States,0.0,0,1,0,0,0,2.0,1,0,0,0,11,0.0,,1,1,0,1,0,1,0,0,1,0,0,0,1,0,12,1,1,0,0,4,1,,,,,0,3,1
NCT00664859,"12-Month, Open-Label, Extension Study of LCP-AtorFen in Dyslipidemia","A 12-Month, Open-Label, Extension Study of the Safety and Efficacy of LCP-AtorFen in Subjects With Dyslipidemia",COMPLETED,2007-10,2009-02,2020-03-24,INTERVENTIONAL,PHASE2|PHASE3,140.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Dyslipidemia,LCP-AtorFen,DRUG,1,1,18 Years,,ALL,False,Veloxis Pharmaceuticals,INDUSTRY,0,1,United States,1.0,0,1,1,0,1,2.5,0,0,0,0,1,4.948759890378168,medium,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,1,0,2007-10-01,2009-02-01,489.0,2007.0,0,1,0
NCT01334359,Exercise Effects on Cognition in School-Aged Children,ERPs to Academics: Exercise Effects on Cognition in School-Aged Children,COMPLETED,2008-07,2012-06,2014-07-25,INTERVENTIONAL,PHASE3,252.0,ACTUAL,RANDOMIZED,PARALLEL,BASIC_SCIENCE,SINGLE,Brain Health|Cognition|Scholastic Achievement,Physical Activity,BEHAVIORAL,3,6,8 Years,9 Years,ALL,True,University of Illinois at Urbana-Champaign,OTHER,0,1,United States,1.0,0,0,1,0,0,3.0,0,0,0,0,3,5.53338948872752,large,0,1,0,1,0,0,0,0,1,0,1,0,0,1,9,1,0,0,0,1,0,2008-07-01,2012-06-01,1431.0,2008.0,0,2,0
NCT01627379,"Cisplatin and 5-FU +/- Panitumumab for Patients With Nonresectable,Advanced or Metastatic Esophageal Squamous Cell Cancer","An Open-label, Randomized Phase III Trial of Cisplatin and 5-fluorouracil With or Without Panitumumab for Patients With Nonresectable, Advanced or Metastatic Esophageal Squamous Cell Cancer",TERMINATED,2012-05,2017-05,2018-03-02,INTERVENTIONAL,PHASE3,300.0,ESTIMATED,RANDOMIZED,PARALLEL,TREATMENT,NONE,Esophageal Squamous Cell Cancer,"Cisplatin, 5-FU|Panitumumab",DRUG,1,5,18 Years,,ALL,False,AIO-Studien-gGmbH,OTHER,3,1,Germany,0.0,0,0,1,0,0,3.0,1,0,0,0,1,5.707110264748875,large,0,0,0,1,0,1,0,0,0,1,1,0,1,1,6,1,1,0,0,2,1,2012-05-01,2017-05-01,1826.0,2012.0,0,2,0
NCT01979679,A D2 Receptor Occupancy and fMRI Study in Schizophrenic Subjects Treated With Lurasidone,A D2 Receptor Occupancy and fMRI Study in Schizophrenic Subjects Treated With Lurasidone,COMPLETED,2008-12,,2013-11-08,INTERVENTIONAL,PHASE3,28.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Schizophrenia,Lurasidone 80 mg|Lurasidone 120 mg|Lurasidone 160 mg,DRUG,1,0,18 Years,60 Years,ALL,False,"University of California, Irvine",OTHER,1,1,United States,1.0,0,0,1,0,0,3.0,0,0,1,0,1,3.367295829986474,small,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,3,1,2008-12-01,,,2008.0,0,1,0
NCT04738279,The CASCADE HF Soft Launch and Calibration Phase I and II,A Study to Determine the Efficacy of Continuous Ambulatory Wearable Technology and a Cascading Alert System in Reducing 30d Readmission in High Risk Heart Failure Patients,COMPLETED,2020-12-14,2021-10-30,2023-10-03,INTERVENTIONAL,PHASE2|PHASE3,20.0,ACTUAL,NON_RANDOMIZED,SEQUENTIAL,OTHER,NONE,Heart Failure,Non-Invasive Continuous Remote Patient Monitoring|Affective Analysis of Participant Response to Continuous Remote Patient Monitoring,DEVICE|OTHER,2,2,18 Years,,ALL,False,Endeavor Health,OTHER,3,1,United States,1.0,0,1,1,0,1,2.5,0,0,0,1,1,3.044522437723423,small,1,1,0,1,0,1,0,0,1,0,0,0,0,0,4,1,0,0,1,2,1,,,,,0,2,0
