nct_id,brief_title,official_title,overall_status,start_date,completion_date,last_update,study_type,phase,enrollment,enrollment_type,allocation,intervention_model,primary_purpose,masking,condition,intervention_name,intervention_type,primary_outcome_count,secondary_outcome_count,min_age,max_age,sex,healthy_volunteers,lead_sponsor_name,lead_sponsor_class,collaborator_count,location_count,countries
NCT02137239,Regimen Optimization Study,"Evaluation of Acute Rejection Rates in de Novo Renal Transplant Recipients Following Thymoglobulin Induction, CNI-free, Nulojix (Belatacept)-Based Immunosuppression",COMPLETED,2015-12-31,2019-05-02,2021-06-22,INTERVENTIONAL,PHASE2,58.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Kidney Transplantation,Thymoglobulin|Belatacept|mycophenolate mofetil(MMF)|Corticosteroids|Everolimus(EVL)|Tacrolimus(TAC),DRUG,1,27,18 Years,75 Years,ALL,False,Bristol-Myers Squibb,INDUSTRY,0,20,United States|Argentina
NCT04427072,Study of Capmatinib Efficacy in Comparison With Docetaxel in Previously Treated Participants With Non-small Cell Lung Cancer Harboring MET Exon 14 Skipping Mutation,"A Phase III, Randomized, Controlled, Open-label, Multicenter, Global Study of Capmatinib Versus SoC Docetaxel Chemotherapy in Previously Treated Patients With EGFR wt, ALK Negative, Locally Advanced or Metastatic (Stage IIIB/IIIC or IV) NSCLC Harboring MET Exon 14 Skipping Mutation (METΔex14).",TERMINATED,2020-09-25,2023-11-06,2025-05-16,INTERVENTIONAL,PHASE3,22.0,ACTUAL,RANDOMIZED,CROSSOVER,TREATMENT,NONE,"Carcinoma, Non-Small-Cell Lung",Capmatinib|Docetaxel,DRUG,1,20,18 Years,100 Years,ALL,False,Novartis Pharmaceuticals,INDUSTRY,0,43,Spain|Italy|Belgium|South Korea|Russia|France|Hungary|Lithuania|Thailand|Portugal|Germany|Netherlands|South Africa|Vietnam|Brazil|India|Malaysia|Bulgaria
NCT02593175,Women's MoonShot: Neoadjuvant Treatment With PaCT for Patients With Locally Advanced TNBC,"Women's Triple-Negative First-Line Study: A Phase II Trial of Panitumumab, Carboplatin and Paclitaxel (PaCT) in Patients With Localized Triple-Negative Breast Cancer (TNBC) With Tumors Predicted Insensitive to Standard Neoadjuvant Chemotherapy",COMPLETED,2016-11-03,2025-04-03,2025-11-06,INTERVENTIONAL,PHASE2,43.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Stage I Breast Cancer AJCC v7|Stage IA Breast Cancer AJCC v7|Stage IB Breast Cancer AJCC v7|Stage II Breast Cancer AJCC v6 and v7|Stage IIA Breast Cancer AJCC v6 and v7|Stage IIB Breast Cancer AJCC v6 and v7|Stage III Breast Cancer AJCC v7|Stage IIIA Breast Cancer AJCC v7|Stage IIIB Breast Cancer AJCC v7|Stage IIIC Breast Cancer AJCC v7|Triple-Negative Breast Carcinoma,Carboplatin|Paclitaxel|Panitumumab,DRUG|BIOLOGICAL,1,0,18 Years,,ALL,False,M.D. Anderson Cancer Center,OTHER,0,1,United States
NCT03019575,Efficacy and Safety of Corifollitropin Alfa (MK-8962) in Combination With Human Chorionic Gonadotropin (hCG) in Adolescent Males With Hypogonadotropic Hypogonadism (HH) (MK-8962-043),"A Phase III, Multi-Center, Open Label, Single-Group Trial to Investigate the Efficacy and Safety of MK-8962 (Corifollitropin Alfa) in Combination With Human Chorionic Gonadotropin (hCG) for Initiation or Restoration of Puberty as Assessed by Increased Testicular Volume in Adolescent Males 14 to <18 Years Old With Hypogonadotropic Hypogonadism (MK-8962-043)",COMPLETED,2017-02-02,2020-05-05,2024-05-23,INTERVENTIONAL,PHASE3,17.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Hypogonadotropic Hypogonadism,Corifollitropin alfa|hCG,DRUG,4,13,14 Years,17 Years,MALE,False,Organon and Co,INDUSTRY,0,15,Denmark|Italy|Russia|South Africa|Mexico|Brazil
NCT04779957,Evaluation of the Safety of Use of Anti-IL6 Receptor Antibodies to Reduce Allo-sensitization Post Allograft Nephrectomy,Evaluation of the Safety of Use of Anti-IL6 Receptor Antibodies to Reduce Allo-sensitization Post Allograft Nephrectomy ; a Pilot Phase II Study.,COMPLETED,2021-10-01,2024-08-09,2025-12-31,INTERVENTIONAL,PHASE2,18.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Kidney Transplantation|Graft Failure,Tocilizumab,DRUG,1,2,18 Years,,ALL,False,"University Hospital, Toulouse",OTHER,0,1,France
NCT02465801,Study of Recombinant Human Serum Albumin/Granulocyte Colony-Stimulating Factor Fusion Protein,Efficacy and Safety Phase II Study of Recombinant Human Serum Albumin/Granulocyte Colony-Stimulating Factor Fusion Protein for Injection to Prevent Neutrophilic Granulocytopenia Among Chemotherapy Patients,COMPLETED,2014-12-16,2016-04-26,2017-07-18,INTERVENTIONAL,PHASE2,216.0,ACTUAL,RANDOMIZED,PARALLEL,PREVENTION,NONE,Chemotherapy-induced Neutropenia,HSA-GCSF 1.2 mg|HSA-GCSF 1.5 mg|GCSF,DRUG,1,5,18 Years,65 Years,FEMALE,False,Tianjin SinoBiotech Ltd.,INDUSTRY,0,1,China
NCT03802201,Study of PTG-300 in Non-Transfusion Dependent and Transfusion-Dependent Beta-Thalassemia Subjects With Chronic Anemia,A Phase 2 Study of PTG-300 in Non-Transfusion Dependent (NTD) and Transfusion-Dependent (TD) β-Thalassemia Subjects With Chronic Anemia,COMPLETED,2018-12-19,2020-07-31,2021-07-16,INTERVENTIONAL,PHASE2,63.0,ACTUAL,,SEQUENTIAL,TREATMENT,NONE,β-thalassemia|Ineffective Erythropoiesis|Chronic Anemia,PTG-300,DRUG,2,0,12 Years,65 Years,ALL,False,"Protagonist Therapeutics, Inc.",INDUSTRY,0,33,United States|Italy|United Kingdom|Tunisia|Lebanon|Thailand|Turkey (Türkiye)|Greece|Malaysia
NCT03401112,A Study of IMR-687 in Adult Participants With Sickle Cell Anemia (Homozygous HbSS or Sickle-β0 Thalassemia),"A Phase 2a, Randomised, Double-Blind, Placebo-Controlled Study of IMR-687 in Adult Patients With Sickle Cell Anaemia (Homozygous HbSS or Sickle-β0 Thalassemia)",COMPLETED,2018-01-26,2020-08-28,2025-05-15,INTERVENTIONAL,PHASE2,100.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Sickle Cell Disease,IMR-687|Placebo,DRUG,1,6,18 Years,55 Years,ALL,False,"Cardurion Pharmaceuticals, Inc.",INDUSTRY,1,13,United States|United Kingdom
NCT01511081,Stereotactic Body Radiotherapy (SBRT) Versus Stereotactic Body Proton Therapy (SBPT),"Randomized Phase II Study Comparing Stereotactic Body Radiotherapy (SBRT) With Stereotactic Body Proton Therapy (SBPT) for Centrally Located Stage I, Selected Stage II and Recurrent Non-Small Cell Lung Cancer",TERMINATED,2012-08,2016-10,2017-12-07,INTERVENTIONAL,PHASE2,21.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,SINGLE,Non-small-cell Lung Cancer,SBRT (stereotactic body radiotherapy)|SBPT (stereotactic body proton therapy),RADIATION,1,1,18 Years,,ALL,False,M.D. Anderson Cancer Center,OTHER,2,1,United States
NCT04592419,"A Study to Evaluate the Efficacy, Durability, and Safety of KSI-301 Compared to Aflibercept in Patients With Macular Edema Due to Retinal Vein Occlusion (RVO)","A Prospective, Randomized, Double-masked, Active Comparator-controlled, Multi-center, Two-arm, Phase 3 Study to Evaluate the Efficacy and Safety of Intravitreal KSI-301 Compared With Intravitreal Aflibercept in Participants With Visual Impairment Due to Treatment-naïve Macular Edema Secondary to Retinal Vein Occlusion (RVO)",COMPLETED,2020-09-25,2023-01-19,2024-06-26,INTERVENTIONAL,PHASE3,568.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Macular Edema|Retinal Vein Occlusion,KSI-301|Aflibercept|Sham Procedure,DRUG|OTHER,2,8,18 Years,,ALL,False,Kodiak Sciences Inc,INDUSTRY,0,141,Puerto Rico|United States|Italy|Spain|Slovakia|France|Hungary|Poland|Germany|Israel|Czechia|Latvia
